year,insurance_type,region,earned_premium,incurred_loss
2020,Long-term Care,California,13620662,14998936
2016,Cancer Insurance,Pennsylvania,6895300,5731430
2024,Indemnity Health,Michigan,3314563,3100844
2017,Long-term Care,Illinois,6816794,7003454
2020,Indemnity Health,Tennessee,4318535,4110516
2015,Indemnity Health,California,12175376,8782314
2019,Indemnity Health,Missouri,2538817,2269193
2022,Cancer Insurance,Georgia,4103073,2683727
2016,Critical Illness,New York,8041451,7097672
2024,Cancer Insurance,Missouri,3194904,2479491
2016,Dental & Vision,New Jersey,4172762,2891296
2019,Long-term Care,California,11510142,14409539
2021,Long-term Care,Michigan,3416563,4289670
2018,Cancer Insurance,Florida,8149556,6852422
2018,Indemnity Health,Virginia,3510493,3084040
2021,Critical Illness,Wisconsin,2888485,1628385
2015,Indemnity Health,California,9857401,6921600
2020,Accident Insurance,California,12474053,10789321
2018,Accident Insurance,Texas,7501115,4873568
2019,Indemnity Health,New York,9314110,9474499
2024,Indemnity Health,Massachusetts,3976991,3613699
2022,Accident Insurance,Washington,4853516,4005948
2019,Long-term Care,Arizona,3611248,3548251
2016,Long-term Care,Ohio,3543655,3883646
2021,Dental & Vision,Tennessee,3834567,2871392
2024,Long-term Care,Ohio,4553548,5434323
2023,Critical Illness,Wisconsin,3642646,3001995
2024,Long-term Care,Michigan,3671677,4582797
2023,Dental & Vision,Pennsylvania,5996872,5290085
2024,Dental & Vision,New Jersey,4400834,4043247
2015,Dental & Vision,North Carolina,4582198,3483958
2018,Accident Insurance,Washington,3912264,2937046
2020,Dental & Vision,Tennessee,4290273,3298468
2020,Long-term Care,Georgia,4232899,4200428
2024,Critical Illness,North Carolina,4766120,4066138
2018,Dental & Vision,Ohio,5951541,3928077
2015,Cancer Insurance,Texas,8556326,6729624
2016,Dental & Vision,California,14227812,13507145
2022,Long-term Care,New York,12052391,13260006
2018,Critical Illness,Virginia,3629097,2565612
2019,Indemnity Health,Wisconsin,3809638,2864736
2021,Critical Illness,Tennessee,2785090,2255384
2024,Accident Insurance,Indiana,3777022,2636639
2020,Long-term Care,Wisconsin,2760006,2532540
2022,Critical Illness,Ohio,4482682,2719847
2021,Critical Illness,Ohio,5809666,4750761
2022,Long-term Care,New York,12898741,14870665
2021,Accident Insurance,Arizona,4124690,3974594
2016,Dental & Vision,Massachusetts,4086984,3117352
2021,Critical Illness,Virginia,5035793,3929092
2020,Cancer Insurance,Georgia,4028541,2697796
2015,Long-term Care,New Jersey,6460852,7295567
2022,Dental & Vision,Florida,9200732,6969139
2024,Indemnity Health,Indiana,2426789,2079168
2020,Cancer Insurance,Indiana,2459716,1324286
2024,Critical Illness,Michigan,4593203,2812835
2017,Critical Illness,Michigan,4437833,2755268
2017,Indemnity Health,Wisconsin,2705692,2642503
2024,Long-term Care,Florida,7077214,7413074
2023,Cancer Insurance,Texas,10485322,8375406
2020,Critical Illness,Tennessee,3393397,2621110
2016,Cancer Insurance,California,10106621,6122007
2015,Accident Insurance,Indiana,2404889,1941002
2016,Indemnity Health,Ohio,5368386,5479022
2019,Critical Illness,Illinois,5100509,3322345
2019,Indemnity Health,Texas,8594643,6566388
2024,Dental & Vision,Washington,5450870,4212853
2024,Dental & Vision,Massachusetts,5176368,3771177
2016,Cancer Insurance,Indiana,2914713,2599216
2017,Accident Insurance,Missouri,3217577,2837124
2017,Cancer Insurance,Michigan,4112723,3576489
2021,Critical Illness,Pennsylvania,4439418,3392761
2024,Cancer Insurance,Washington,5476187,3950113
2023,Indemnity Health,New York,9945088,8967502
2016,Critical Illness,Texas,10113765,5420674
2024,Long-term Care,Virginia,3532151,4440843
2018,Critical Illness,Indiana,3770851,2544169
2018,Cancer Insurance,Illinois,5765720,3780935
2023,Cancer Insurance,Massachusetts,4849864,3727961
2015,Long-term Care,Wisconsin,3624707,3825703
2024,Long-term Care,Indiana,3880479,3880223
2023,Cancer Insurance,Wisconsin,2887535,2116184
2019,Indemnity Health,Pennsylvania,6323184,6133447
2017,Accident Insurance,Tennessee,4396996,3026192
2020,Indemnity Health,Tennessee,2972674,2976149
2021,Cancer Insurance,Virginia,4785292,3645780
2018,Indemnity Health,New York,11300695,9893102
2023,Indemnity Health,Michigan,3296347,3140172
2018,Dental & Vision,Pennsylvania,6783219,5849670
2019,Long-term Care,Tennessee,3993733,4666848
2017,Critical Illness,Tennessee,2753608,1925393
2017,Long-term Care,Arizona,4914013,5588939
2022,Dental & Vision,Tennessee,4416657,3846303
2021,Indemnity Health,Florida,6955706,6628239
2022,Long-term Care,Massachusetts,4949728,5415657
2016,Critical Illness,North Carolina,4295807,3614965
2021,Indemnity Health,Tennessee,3099182,3333120
2016,Cancer Insurance,Texas,8291089,6646714
2020,Dental & Vision,Michigan,4112923,3164128
2015,Accident Insurance,Illinois,6591457,4796830
2016,Accident Insurance,Maryland,3332538,2967478
2018,Long-term Care,Ohio,5282941,6019634
2024,Dental & Vision,Georgia,4906820,4410715
2024,Indemnity Health,Virginia,5326350,4407247
2020,Critical Illness,Arizona,4712965,2653401
2020,Cancer Insurance,New Jersey,5623027,5088566
2024,Critical Illness,Georgia,4811585,4359635
2019,Indemnity Health,Arizona,4468366,3650380
2023,Indemnity Health,California,12094964,13273199
2016,Indemnity Health,North Carolina,3522234,3293004
2016,Indemnity Health,New York,8459793,8086077
2017,Cancer Insurance,Arizona,3403530,3000528
2022,Cancer Insurance,Virginia,5152131,4183984
2018,Dental & Vision,New York,9576987,7571523
2017,Dental & Vision,New Jersey,6193341,5734654
2016,Dental & Vision,Massachusetts,4117845,3171603
2021,Cancer Insurance,California,11641580,8518601
2023,Accident Insurance,New Jersey,5300361,5387678
2023,Indemnity Health,Texas,8137712,7428271
2019,Long-term Care,Georgia,4735902,5431908
2024,Accident Insurance,Washington,5584759,4342791
2022,Critical Illness,Arizona,3517478,2687678
2018,Dental & Vision,Massachusetts,5297029,5142373
2020,Dental & Vision,Tennessee,4104772,3840010
2024,Long-term Care,Indiana,2910575,3324990
2015,Indemnity Health,Wisconsin,2502853,2654364
2023,Indemnity Health,Virginia,4929976,4717859
2022,Dental & Vision,California,11353595,10167878
2020,Cancer Insurance,Missouri,3880521,2856278
2023,Critical Illness,Tennessee,3884012,2403837
2019,Accident Insurance,Pennsylvania,5618652,5296550
2017,Cancer Insurance,Wisconsin,2460434,1896776
2020,Indemnity Health,North Carolina,4979604,5354161
2020,Critical Illness,Illinois,4976804,3328453
2019,Accident Insurance,Georgia,3523738,2985285
2020,Cancer Insurance,Arizona,4766076,4433393
2020,Indemnity Health,Indiana,3419212,3234690
2023,Indemnity Health,Wisconsin,2993910,2726290
2016,Indemnity Health,Michigan,4446306,4474923
2024,Critical Illness,Arizona,3583957,2623116
2017,Accident Insurance,Michigan,4425063,3146174
2022,Dental & Vision,North Carolina,4812733,3916456
2020,Cancer Insurance,New Jersey,5652379,3490945
2022,Accident Insurance,Texas,9824917,8534280
2021,Indemnity Health,Pennsylvania,5563292,5776205
2023,Accident Insurance,New York,9380844,8855882
2019,Long-term Care,Texas,7985581,9371618
2022,Long-term Care,Indiana,2955162,2874970
2020,Accident Insurance,Pennsylvania,6594650,6043850
2015,Critical Illness,Florida,9775371,5537163
2018,Accident Insurance,Maryland,4514970,3339744
2024,Cancer Insurance,Georgia,3506118,2645267
2020,Indemnity Health,Ohio,4899902,5024828
2017,Indemnity Health,Tennessee,3319985,2962772
2019,Cancer Insurance,California,14709574,13726790
2016,Long-term Care,Illinois,6808946,8015933
2017,Indemnity Health,New Jersey,5173471,5657494
2024,Long-term Care,Washington,5933409,6264214
2019,Dental & Vision,Massachusetts,4002325,3194192
2023,Accident Insurance,Indiana,2220829,1818879
2022,Cancer Insurance,Maryland,5053561,4638556
2019,Accident Insurance,Georgia,3257368,2238745
2020,Dental & Vision,Indiana,2383209,1911941
2019,Cancer Insurance,Tennessee,3169258,2654038
2018,Critical Illness,Wisconsin,3165808,1618547
2015,Indemnity Health,Georgia,4974217,4146467
2022,Accident Insurance,Virginia,4055574,3463226
2017,Accident Insurance,Maryland,3816410,2932360
2021,Long-term Care,Arizona,3796574,3469832
2017,Critical Illness,New Jersey,5853665,4349795
2016,Cancer Insurance,Illinois,7125882,6145793
2019,Critical Illness,Virginia,4554936,3463831
2020,Accident Insurance,Ohio,4829724,3379758
2019,Indemnity Health,New York,12601392,11202554
2021,Accident Insurance,Tennessee,4142967,2529990
2015,Accident Insurance,New Jersey,5764091,3543802
2023,Indemnity Health,Illinois,4995281,4205525
2017,Long-term Care,Indiana,3729340,3035405
2024,Cancer Insurance,Wisconsin,2714113,2533847
2024,Indemnity Health,North Carolina,4297698,3547965
2021,Cancer Insurance,Massachusetts,4955342,3069636
2023,Long-term Care,Indiana,2988840,2958186
2023,Critical Illness,Indiana,3066987,2555054
2019,Dental & Vision,New York,8836538,8435323
2018,Indemnity Health,Michigan,4573728,4780097
2019,Dental & Vision,Arizona,4176307,2834382
2020,Dental & Vision,Virginia,4185824,3477840
2018,Long-term Care,Pennsylvania,5971245,6883372
2019,Cancer Insurance,Maryland,4752711,2783603
2023,Accident Insurance,Missouri,3382020,3181605
2022,Cancer Insurance,Texas,8498416,6892091
2015,Accident Insurance,Wisconsin,4101882,3800566
2016,Cancer Insurance,Michigan,4314892,2974253
2023,Long-term Care,Wisconsin,3918314,5119615
2024,Accident Insurance,Michigan,4343879,3785395
2019,Dental & Vision,Texas,8307472,6028987
2024,Indemnity Health,Arizona,2997196,3208409
2020,Cancer Insurance,Florida,6275571,3911773
2016,Indemnity Health,Arizona,4071061,3929520
2016,Dental & Vision,California,12172534,9976443
2015,Critical Illness,Illinois,7370446,4500798
2020,Critical Illness,Massachusetts,4043128,3048818
2019,Dental & Vision,California,9955532,8623087
2019,Dental & Vision,Tennessee,4271012,2805097
2018,Long-term Care,Illinois,5066035,4716350
2023,Critical Illness,Pennsylvania,5358855,3126470
2019,Critical Illness,Washington,3580634,2330923
2017,Accident Insurance,California,11331452,7264008
2015,Long-term Care,Massachusetts,5605904,6485331
2022,Accident Insurance,Wisconsin,3058879,2135108
2017,Accident Insurance,Illinois,7080375,5843182
2020,Indemnity Health,Florida,6615329,5500702
2023,Critical Illness,Illinois,7050181,5012385
2018,Long-term Care,California,11562396,13583806
2024,Accident Insurance,Tennessee,4205116,4415069
2018,Cancer Insurance,New Jersey,4007549,3487975
2017,Cancer Insurance,Washington,5432580,4139598
2017,Accident Insurance,Arizona,3155957,2585687
2017,Indemnity Health,Wisconsin,3575422,2999052
2024,Critical Illness,Tennessee,4412452,3634040
2019,Cancer Insurance,Virginia,4693081,3916591
2024,Critical Illness,Tennessee,2668156,1651979
2022,Long-term Care,New Jersey,4606560,4386116
2017,Dental & Vision,Arizona,3537962,2603765
2021,Long-term Care,Texas,8534526,7098322
2015,Dental & Vision,Indiana,2353074,1433534
2017,Indemnity Health,Georgia,4749543,3728644
2023,Dental & Vision,Tennessee,2860122,2150286
2019,Accident Insurance,Pennsylvania,5436310,3878679
2024,Dental & Vision,Illinois,6411319,4948043
2024,Dental & Vision,Missouri,3223392,2429918
2017,Cancer Insurance,Massachusetts,4226561,2731756
2019,Indemnity Health,Maryland,4594249,3821427
2020,Accident Insurance,Indiana,3612097,2370702
2023,Accident Insurance,Missouri,2414623,2147077
2017,Cancer Insurance,Washington,3795206,2378676
2021,Long-term Care,Florida,7062660,8902582
2024,Dental & Vision,North Carolina,5086902,4892560
2022,Cancer Insurance,Florida,9607668,6238939
2018,Indemnity Health,Wisconsin,3514788,2613340
2023,Indemnity Health,Missouri,2728606,2880499
2023,Cancer Insurance,North Carolina,5629596,5516553
2017,Long-term Care,Tennessee,2760601,3474392
2015,Long-term Care,Ohio,5964472,6081426
2018,Dental & Vision,Missouri,3006401,2426674
2019,Cancer Insurance,Florida,6476995,5381368
2023,Accident Insurance,Wisconsin,2443957,1873092
2020,Indemnity Health,Arizona,3331737,3628759
2021,Cancer Insurance,Georgia,3281265,2159780
2021,Cancer Insurance,Maryland,4537992,2679345
2024,Dental & Vision,Maryland,5025142,4263779
2022,Long-term Care,Wisconsin,3271913,3405240
2018,Accident Insurance,Virginia,4376787,4266472
2020,Indemnity Health,Georgia,4639911,4006874
2021,Long-term Care,Washington,4538303,4406493
2022,Accident Insurance,Maryland,5173252,5227271
2024,Long-term Care,New York,11090576,10647604
2021,Dental & Vision,Washington,4950551,3231989
2015,Critical Illness,Illinois,5065073,3379563
2015,Indemnity Health,Massachusetts,4810520,4139879
2021,Critical Illness,Florida,7772899,6787146
2019,Critical Illness,Indiana,2343399,1893725
2020,Accident Insurance,California,11243428,10784484
2017,Accident Insurance,North Carolina,5715282,4527123
2024,Long-term Care,New Jersey,5862003,7475974
2016,Indemnity Health,Massachusetts,3921542,3578823
2016,Long-term Care,New York,12213882,12445664
2019,Cancer Insurance,Missouri,4199280,2390885
2017,Cancer Insurance,California,12105701,8901197
2022,Critical Illness,Maryland,4955544,4116838
2018,Accident Insurance,Tennessee,3893356,2549362
2021,Indemnity Health,Wisconsin,3200731,3143040
2020,Critical Illness,North Carolina,4022689,3459001
2019,Critical Illness,Michigan,3328606,2483055
2021,Dental & Vision,North Carolina,5101916,4995954
2016,Long-term Care,Massachusetts,5722076,6162215
2016,Indemnity Health,Wisconsin,3696048,3086586
2020,Dental & Vision,Pennsylvania,6819814,6346971
2016,Long-term Care,Florida,8790230,9934429
2018,Indemnity Health,Pennsylvania,6953459,7554830
2019,Critical Illness,Massachusetts,3912196,3144275
2019,Critical Illness,New York,11420233,6191177
2021,Accident Insurance,Virginia,3790245,2223763
2015,Long-term Care,Massachusetts,5018935,5333912
2023,Accident Insurance,Washington,4636559,4493285
2023,Critical Illness,Georgia,3632043,2351693
2022,Accident Insurance,New Jersey,3929200,2687297
2022,Dental & Vision,Illinois,6832699,5139810
2022,Dental & Vision,Tennessee,3520972,3397114
2018,Critical Illness,Tennessee,3745707,2589309
2024,Cancer Insurance,Georgia,3999484,2446149
2019,Accident Insurance,Illinois,7188900,4995457
2021,Dental & Vision,Texas,8917093,6859634
2024,Long-term Care,Indiana,3274053,4044621
2024,Indemnity Health,Florida,7953647,8995855
2016,Cancer Insurance,North Carolina,3491844,1979861
2016,Indemnity Health,Texas,11819325,9605395
2019,Accident Insurance,New Jersey,6195996,4500309
2016,Accident Insurance,Tennessee,4357212,3723698
2016,Long-term Care,Florida,6028984,5634417
2022,Accident Insurance,Illinois,6746543,5985011
2018,Critical Illness,Wisconsin,2589092,1803220
2023,Critical Illness,Virginia,3803555,2707775
2015,Cancer Insurance,New Jersey,5995653,4973325
2023,Accident Insurance,Georgia,5152788,4554135
2021,Cancer Insurance,Indiana,3537915,2103571
2021,Critical Illness,Georgia,4228238,2315274
2019,Accident Insurance,New York,12370914,9597768
2019,Cancer Insurance,California,10161679,6108457
2018,Indemnity Health,Virginia,3322354,2895825
2019,Critical Illness,Massachusetts,5361720,3895482
2019,Critical Illness,New Jersey,6314885,3843012
2023,Accident Insurance,Texas,10306848,8349399
2018,Indemnity Health,California,9000510,8117979
2019,Indemnity Health,Florida,8402700,7974319
2016,Dental & Vision,Maryland,5178702,4513777
2022,Indemnity Health,Pennsylvania,6752048,6987967
2017,Dental & Vision,New York,8033894,5914300
2015,Dental & Vision,Missouri,2668356,1881041
2023,Accident Insurance,Pennsylvania,4089297,4084999
2019,Dental & Vision,Wisconsin,2979288,2678435
2022,Accident Insurance,Tennessee,2732118,1930925
2016,Long-term Care,Missouri,3964616,4610221
2023,Critical Illness,California,10674879,6444305
2018,Accident Insurance,California,14388749,8886782
2023,Cancer Insurance,Indiana,2409108,2161225
2024,Dental & Vision,North Carolina,5106515,3794124
2015,Long-term Care,Wisconsin,3377967,3505403
2023,Cancer Insurance,California,14944781,13150880
2017,Cancer Insurance,Michigan,4953628,4149601
2015,Indemnity Health,Michigan,3569827,3152427
2024,Critical Illness,Massachusetts,5978711,4474287
2023,Accident Insurance,California,10003615,10754981
2016,Cancer Insurance,Ohio,4179585,3121535
2021,Cancer Insurance,Massachusetts,4896773,3365005
2023,Critical Illness,Florida,6528647,4089372
2017,Cancer Insurance,New York,9009007,7390573
2017,Critical Illness,Illinois,6447226,3484124
2020,Indemnity Health,Ohio,3637456,3047426
2015,Accident Insurance,Indiana,2455412,1955184
2017,Accident Insurance,Tennessee,3865059,3557911
2022,Cancer Insurance,Ohio,5946639,5034665
2018,Critical Illness,Missouri,2800602,1722443
2015,Accident Insurance,Georgia,4739093,3436338
2018,Accident Insurance,Missouri,2383084,1645265
2024,Dental & Vision,California,13705573,10811223
2023,Accident Insurance,North Carolina,3436166,2535262
2019,Dental & Vision,California,9962108,9966169
2022,Long-term Care,New Jersey,4896494,5992809
2016,Critical Illness,Tennessee,2660666,1380450
2022,Long-term Care,Indiana,3040656,3310556
2015,Accident Insurance,Virginia,4629058,3211529
2024,Long-term Care,Indiana,3044983,3239734
2015,Critical Illness,Wisconsin,2513514,1412941
2022,Indemnity Health,Michigan,4724397,3683530
2020,Cancer Insurance,New Jersey,3995635,3457681
2022,Long-term Care,Michigan,3229037,2749220
2017,Cancer Insurance,Missouri,2525957,2237177
2022,Long-term Care,New Jersey,6055948,6399623
2024,Long-term Care,Ohio,3530565,4092004
2017,Critical Illness,Wisconsin,2538448,2097427
2016,Indemnity Health,New York,8679133,7877555
2023,Cancer Insurance,Illinois,5997827,3746214
2022,Long-term Care,Arizona,3039490,4059917
2023,Dental & Vision,Missouri,3100675,2341385
2017,Accident Insurance,New Jersey,5373051,4413653
2020,Long-term Care,New Jersey,5900105,7052489
2017,Indemnity Health,North Carolina,5673835,4492525
2020,Cancer Insurance,Tennessee,3919781,2737261
2015,Critical Illness,New York,8912954,5090181
2024,Indemnity Health,Texas,10677266,11246037
2018,Cancer Insurance,Ohio,4605182,2689554
2023,Dental & Vision,Texas,11791416,10940592
2024,Cancer Insurance,Massachusetts,4866998,3863679
2018,Dental & Vision,Ohio,3549864,3201604
2018,Long-term Care,Missouri,2337726,2555140
2020,Dental & Vision,Tennessee,2997074,2517810
2016,Cancer Insurance,Texas,8871998,7055824
2022,Dental & Vision,New York,8738836,7080157
2016,Cancer Insurance,Maryland,3840420,2853764
2020,Critical Illness,Texas,9558731,6728555
2015,Indemnity Health,Florida,9265796,10127480
2017,Cancer Insurance,Georgia,3815117,2679144
2018,Long-term Care,Arizona,2936627,2869453
2023,Cancer Insurance,Tennessee,4313934,4156951
2021,Long-term Care,California,13701360,13795881
2020,Critical Illness,Maryland,4304196,3563552
2017,Indemnity Health,North Carolina,3334570,3722025
2020,Indemnity Health,Tennessee,2566634,2172814
2019,Long-term Care,Georgia,4168289,4178410
2017,Critical Illness,Massachusetts,3863887,2172815
2023,Long-term Care,North Carolina,4888877,4929163
2022,Accident Insurance,Wisconsin,3304670,3422609
2024,Cancer Insurance,Michigan,4668710,3609899
2019,Long-term Care,Wisconsin,2674073,2739735
2017,Indemnity Health,North Carolina,3401456,3194921
2016,Dental & Vision,Massachusetts,4940679,4477705
2018,Accident Insurance,Georgia,3889866,3060590
2021,Dental & Vision,Maryland,3999642,3343275
2017,Critical Illness,Arizona,4649955,3433838
2016,Accident Insurance,Illinois,5461898,3653280
2017,Long-term Care,Georgia,3555529,3798648
2021,Critical Illness,Massachusetts,4695575,2526325
2017,Dental & Vision,Missouri,2885031,2656556
2019,Dental & Vision,Ohio,5683721,5110041
2023,Critical Illness,Missouri,2787513,1597173
2021,Accident Insurance,New Jersey,5703998,5031354
2019,Critical Illness,Ohio,4266514,3039813
2024,Long-term Care,New Jersey,5128940,5086615
2017,Dental & Vision,Indiana,3410147,2947351
2023,Accident Insurance,Tennessee,3448620,3699998
2016,Indemnity Health,Florida,6657617,6725648
2022,Long-term Care,Georgia,5190690,5719873
2017,Accident Insurance,California,12555613,11923277
2021,Critical Illness,Wisconsin,3617836,1928401
2017,Long-term Care,Tennessee,3798293,4347545
2020,Accident Insurance,Massachusetts,4372156,3750155
2024,Dental & Vision,Florida,6992176,5814737
2018,Long-term Care,Wisconsin,3142367,2778579
2017,Accident Insurance,Michigan,3686453,2590443
2015,Indemnity Health,Pennsylvania,5858625,6109617
2015,Accident Insurance,Massachusetts,4802992,3475975
2016,Accident Insurance,Virginia,3594719,3550990
2015,Critical Illness,Tennessee,3021608,1567906
2016,Dental & Vision,Massachusetts,3744048,2969678
2022,Accident Insurance,Georgia,3294364,2336389
2016,Accident Insurance,Florida,8256182,6742784
2019,Long-term Care,New Jersey,4444093,5074850
2024,Indemnity Health,Arizona,3874158,3201086
2024,Long-term Care,Virginia,5219388,5136919
2019,Cancer Insurance,Virginia,5277185,4138996
2016,Accident Insurance,Wisconsin,4134292,3132088
2016,Indemnity Health,Michigan,3361144,2989313
2021,Accident Insurance,Washington,3824410,2646328
2017,Long-term Care,Virginia,4316272,4987885
2018,Dental & Vision,Maryland,3578596,2707032
2018,Indemnity Health,Missouri,3753798,3711078
2023,Indemnity Health,Massachusetts,5689416,5743653
2018,Long-term Care,Wisconsin,3748288,4605862
2019,Critical Illness,Illinois,7434619,4236032
2024,Dental & Vision,New Jersey,5649782,4818497
2022,Indemnity Health,Illinois,6122733,4476855
2021,Cancer Insurance,Tennessee,3101566,2622755
2017,Critical Illness,Washington,5855041,3214885
2020,Accident Insurance,Texas,9847632,8870902
2024,Dental & Vision,New York,12521665,9812204
2022,Accident Insurance,Illinois,5617838,3788634
2022,Critical Illness,Wisconsin,4069693,2810889
2021,Indemnity Health,Pennsylvania,6614077,5968752
2016,Indemnity Health,Washington,4118131,3787406
2024,Dental & Vision,New York,8210349,6953613
2015,Indemnity Health,Maryland,3600279,2931345
2020,Accident Insurance,Tennessee,2723848,2124334
2022,Long-term Care,Georgia,3843216,3665119
2023,Dental & Vision,Washington,5484841,4367094
2019,Cancer Insurance,Pennsylvania,5550288,3908894
2017,Cancer Insurance,California,14261797,11588826
2024,Critical Illness,Maryland,3839227,2623986
2017,Long-term Care,New York,12484481,12070473
2021,Accident Insurance,New York,10340804,10066093
2021,Indemnity Health,Georgia,4933105,3740728
2019,Accident Insurance,Michigan,3558779,3679619
2016,Critical Illness,New York,11466960,8580892
2020,Long-term Care,Missouri,3412847,4059043
2016,Cancer Insurance,Tennessee,3536016,2066566
2016,Indemnity Health,Maryland,4339657,4028463
2016,Long-term Care,California,11564074,11220040
2021,Critical Illness,Michigan,3665318,2893762
2017,Indemnity Health,Washington,4612251,4008579
2017,Dental & Vision,Washington,4460867,3263158
2024,Dental & Vision,Georgia,3748990,2596160
2015,Accident Insurance,New Jersey,4402812,4042878
2019,Accident Insurance,Missouri,4149537,3268495
2016,Accident Insurance,Wisconsin,3510634,2494542
2019,Cancer Insurance,Ohio,4706164,3686026
2018,Long-term Care,Maryland,3001034,3047493
2015,Dental & Vision,Michigan,3919506,3571627
2017,Accident Insurance,Missouri,2492995,1687893
2024,Dental & Vision,New Jersey,6174366,4831820
2023,Dental & Vision,Texas,10338726,9062764
2024,Indemnity Health,Michigan,3477440,3136694
2021,Long-term Care,Michigan,3895625,3453062
2019,Cancer Insurance,Florida,7446953,6375074
2015,Indemnity Health,Texas,7969241,5865561
2019,Critical Illness,Michigan,4817284,3394767
2016,Cancer Insurance,Missouri,2436374,1881648
2016,Critical Illness,Ohio,5294837,3122726
2024,Long-term Care,Massachusetts,6077273,6192000
2019,Critical Illness,New York,12432747,10666594
2021,Dental & Vision,New York,10061852,9349632
2015,Long-term Care,New York,11664717,14116898
2019,Cancer Insurance,Washington,4285430,3358212
2019,Long-term Care,Ohio,5214796,5589805
2019,Critical Illness,Washington,4373218,2517890
2023,Dental & Vision,New York,8070835,7525183
2019,Long-term Care,Florida,7684337,6705271
2021,Indemnity Health,California,11183553,8954577
2020,Cancer Insurance,Texas,8144491,5306762
2024,Accident Insurance,Illinois,5590203,5773271
2021,Accident Insurance,Georgia,4108147,3475252
2020,Critical Illness,North Carolina,4672279,2968202
2017,Long-term Care,Washington,4361092,4167730
2018,Indemnity Health,Wisconsin,4063005,3438504
2021,Accident Insurance,Michigan,3770576,3145471
2015,Long-term Care,Florida,7628989,6660256
2016,Accident Insurance,North Carolina,3223498,2189065
2024,Critical Illness,New Jersey,5001046,3980823
2015,Long-term Care,Illinois,5626430,5564632
2020,Dental & Vision,Ohio,5877591,4871517
2018,Cancer Insurance,California,10774358,8284377
2017,Critical Illness,Wisconsin,2435837,1827024
2018,Critical Illness,Tennessee,3555155,3167565
2019,Critical Illness,Tennessee,2869302,1865639
2016,Cancer Insurance,Texas,9712561,7082562
2020,Cancer Insurance,Virginia,4743906,2850827
2020,Long-term Care,California,10385231,12335186
2016,Indemnity Health,Illinois,7292799,7365351
2022,Critical Illness,Wisconsin,3754662,2186469
2024,Dental & Vision,New Jersey,4544130,3775520
2019,Indemnity Health,Illinois,4615510,3767426
2020,Dental & Vision,Indiana,3027469,2501568
2024,Cancer Insurance,Arizona,3830066,2206369
2015,Indemnity Health,New Jersey,4562226,3295504
2021,Accident Insurance,Maryland,3018731,2314467
2018,Long-term Care,New York,9691516,8725308
2023,Indemnity Health,Virginia,4484915,4387612
2016,Critical Illness,New Jersey,5613422,2880097
2020,Accident Insurance,New York,9102304,6018367
2018,Cancer Insurance,Georgia,4537685,3875519
2018,Dental & Vision,Wisconsin,3795777,3379291
2016,Dental & Vision,New York,9712992,8252499
2022,Cancer Insurance,Illinois,6886299,5078364
2024,Indemnity Health,Florida,6065047,6312280
2020,Indemnity Health,California,11633715,10498639
2020,Accident Insurance,Washington,4337681,3707154
2015,Long-term Care,New York,11060917,12855044
2021,Dental & Vision,New Jersey,4459697,3821175
2017,Indemnity Health,Missouri,3125743,2815550
2015,Accident Insurance,Florida,7750422,5007672
2023,Critical Illness,Illinois,7498988,4100741
2023,Cancer Insurance,Michigan,4711850,3082728
2021,Long-term Care,Illinois,6181489,5535945
2024,Critical Illness,Illinois,5710268,5265619
2017,Cancer Insurance,North Carolina,4829284,4684186
2018,Critical Illness,Missouri,2857804,2366900
2016,Dental & Vision,Ohio,3567270,2961701
2019,Long-term Care,Wisconsin,3831677,3463357
2015,Long-term Care,Missouri,3356741,3567026
2023,Indemnity Health,North Carolina,3965490,4166351
2021,Indemnity Health,Ohio,5797423,5298792
2022,Cancer Insurance,Indiana,3205604,2293863
2024,Cancer Insurance,Massachusetts,5257087,4850587
2015,Long-term Care,Maryland,3824051,4607884
2017,Accident Insurance,Indiana,2674761,2075592
2021,Long-term Care,Wisconsin,4014801,3687644
2017,Cancer Insurance,Illinois,6895557,5003232
2017,Accident Insurance,Tennessee,3606654,2700680
2020,Long-term Care,North Carolina,5384505,6644142
2023,Long-term Care,New York,12792427,13274482
2021,Long-term Care,Illinois,7038206,8286043
2022,Dental & Vision,Arizona,4750676,3503133
2019,Dental & Vision,Washington,3656374,3101153
2017,Dental & Vision,Massachusetts,5299526,4609748
2024,Dental & Vision,Indiana,2404519,2047840
2019,Long-term Care,Tennessee,4369201,5014541
2015,Dental & Vision,Tennessee,4304264,3095025
2023,Dental & Vision,Arizona,4608233,4196448
2019,Dental & Vision,Washington,5386458,3914138
2018,Long-term Care,California,9851920,10550280
2021,Cancer Insurance,Missouri,2615962,1826423
2018,Cancer Insurance,Ohio,5337751,4379355
2023,Dental & Vision,Maryland,3943071,2734114
2022,Long-term Care,Massachusetts,3702723,4316931
2015,Critical Illness,New Jersey,5574928,3745044
2022,Critical Illness,New York,9211432,5648212
2018,Dental & Vision,Georgia,3866476,3196498
2016,Long-term Care,Pennsylvania,4762321,3851738
2021,Dental & Vision,New Jersey,6097463,5228128
2020,Accident Insurance,Florida,7616342,7486146
2021,Cancer Insurance,Indiana,3525268,2696169
2024,Long-term Care,Massachusetts,5934862,5757436
2017,Accident Insurance,Florida,6124503,4219966
2016,Accident Insurance,California,11039046,10535983
2022,Long-term Care,California,11255830,10121144
